Month,Year,Fractional Date,Excel Date,CPI,SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,CAPE (Shiller),CAPE    (ERN),SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,Fama-French Small Stocks,Fama-French Value Stocks,Portfolio,Cumulative Backward Return,C1,Sum of Ct,Sum of CtPt,Equity Drawdown (Real!)
12,1917,"1,917.92",12/31/1917,13.700,"1,419.06",510.63,363.38,"1,031.58","1,419.06",13.70,13.70,580.99,20.67,6.4126,7.1419,-4.08%,-2.31%,-3.46%,-1.11%,-4.08%,0.00%,0.00%,-0.47%,-1.46%,0.00%,0.00%,-3.73%,"8,313.89",35.89,"6,218.79",0.00,-39.477%
1,1918,"1,918.00",1/31/1918,14.000,"1,532.27",513.47,366.45,"1,036.72","1,532.27",14.00,14.00,600.11,20.67,6.8156,7.5895,5.66%,-1.60%,-1.32%,-1.66%,5.66%,0.00%,0.00%,1.08%,-2.14%,0.00%,0.00%,4.21%,"8,636.22",38.08,"6,317.53",0.00,-36.049%
2,1918,"1,918.08",2/28/1918,14.100,"1,574.49",517.58,370.79,"1,041.89","1,574.49",14.10,14.10,620.75,20.67,6.7355,7.4939,2.03%,0.08%,0.47%,-0.21%,2.03%,0.00%,0.00%,2.71%,-0.71%,0.00%,0.00%,1.63%,"8,287.52",35.65,"6,126.76",0.00,-34.753%
3,1918,"1,918.17",3/31/1918,14.000,"1,524.69",520.51,373.45,"1,047.08","1,524.69",14.00,14.00,625.31,20.67,6.6237,7.3585,-2.47%,1.29%,1.44%,1.22%,-2.47%,0.00%,0.00%,1.45%,0.71%,0.00%,0.00%,-1.72%,"8,154.28",34.20,"5,939.04",0.00,-36.365%
4,1918,"1,918.25",4/30/1918,14.200,"1,554.82",522.74,375.07,"1,052.30","1,554.82",14.20,14.20,595.08,20.67,6.5436,7.2612,0.54%,-0.99%,-0.98%,-0.92%,0.54%,0.00%,0.00%,-6.18%,-1.41%,0.00%,0.00%,0.23%,"8,297.32",34.96,"5,933.43",0.00,-36.021%
5,1918,"1,918.33",5/31/1918,14.500,"1,590.12",524.69,376.29,"1,057.54","1,590.12",14.50,14.50,546.49,20.67,6.5470,7.2560,0.15%,-1.70%,-1.75%,-1.58%,0.15%,0.00%,0.00%,-10.06%,-2.07%,0.00%,0.00%,-0.22%,"8,278.25",37.14,"6,281.23",0.00,-35.923%
6,1918,"1,918.42",6/30/1918,14.700,"1,635.96",531.62,384.71,"1,062.81","1,635.96",14.70,14.70,601.74,20.67,6.5552,7.2560,1.48%,-0.06%,0.85%,-0.87%,1.48%,0.00%,0.00%,8.61%,-1.36%,0.00%,0.00%,1.17%,"8,296.61",37.53,"6,296.59",0.00,-34.972%
7,1918,"1,918.50",7/31/1918,15.100,"1,636.11",533.94,386.44,"1,068.11","1,636.11",15.10,15.10,629.68,20.67,6.3578,6.8724,-2.64%,-2.22%,-2.21%,-2.16%,-2.64%,0.00%,0.00%,1.87%,-2.65%,0.00%,0.00%,-2.56%,"8,200.62",37.38,"6,308.57",0.00,-36.689%
8,1918,"1,918.58",8/31/1918,15.400,"1,682.61",536.20,388.10,"1,073.43","1,682.61",15.40,15.40,625.92,20.67,6.3784,6.8865,0.84%,-1.53%,-1.53%,-1.46%,0.84%,0.00%,0.00%,-2.53%,-1.95%,0.00%,0.00%,0.36%,"8,416.19",37.84,"6,186.13",0.00,-36.158%
9,1918,"1,918.67",9/30/1918,15.700,"1,664.49",536.62,387.04,"1,078.78","1,664.49",15.70,15.70,592.79,20.67,6.2365,6.7251,-2.97%,-1.83%,-2.18%,-1.42%,-2.97%,0.00%,0.00%,-7.10%,-1.91%,0.00%,0.00%,-2.74%,"8,385.94",39.28,"6,407.46",0.00,-38.052%
10,1918,"1,918.75",10/31/1918,16.000,"1,760.80",536.44,385.11,"1,084.16","1,760.80",16.00,16.00,546.25,20.67,6.5249,7.0303,3.80%,-1.91%,-2.37%,-1.39%,3.80%,0.00%,0.00%,-9.58%,-1.88%,0.00%,0.00%,2.66%,"8,622.60",40.27,"6,349.79",0.00,-35.697%
11,1918,"1,918.83",11/30/1918,16.300,"1,744.79",540.95,390.00,"1,089.56","1,744.79",16.30,16.30,610.31,20.67,6.2307,6.7051,-2.73%,-1.01%,-0.59%,-1.35%,-2.73%,0.00%,0.00%,9.67%,-1.84%,0.00%,0.00%,-2.39%,"8,399.52",39.27,"6,317.61",0.00,-37.454%
12,1918,"1,918.92",12/31/1918,16.500,"1,781.67",534.08,378.32,"1,094.99","1,781.67",16.50,16.50,623.23,20.67,6.1482,6.6093,0.88%,-2.47%,-4.17%,-0.72%,0.88%,0.00%,0.00%,0.88%,-1.21%,0.00%,0.00%,0.20%,"8,605.46",41.67,"6,503.89",0.00,-36.907%
1,1919,"1,919.00",1/31/1919,16.500,"1,763.08",535.78,379.12,"1,100.06","1,763.08",16.50,16.50,551.20,20.67,6.0596,6.5065,-1.04%,0.32%,0.21%,0.46%,-1.04%,0.00%,0.00%,-11.56%,0.00%,0.00%,0.00%,-0.78%,"8,588.03",39.86,"6,194.87",0.00,-37.565%
2,1919,"1,919.08",2/28/1919,16.200,"1,832.45",534.93,376.41,"1,105.16","1,832.45",16.20,16.20,583.85,20.67,6.3161,6.7771,5.86%,1.69%,1.12%,2.32%,5.86%,0.00%,0.00%,7.88%,1.85%,0.00%,0.00%,5.02%,"8,655.14",39.90,"6,114.08",0.00,-33.906%
3,1919,"1,919.17",3/31/1919,16.400,"1,852.92",535.78,376.11,"1,110.28","1,852.92",16.40,16.40,667.84,20.67,6.4463,6.9141,-0.12%,-1.06%,-1.30%,-0.76%,-0.12%,0.00%,0.00%,12.99%,-1.22%,0.00%,0.00%,-0.31%,"8,241.29",36.52,"5,840.54",0.00,-33.983%
4,1919,"1,919.25",4/30/1919,16.700,"1,959.86",538.31,378.18,"1,115.43","1,959.86",16.70,16.70,742.79,20.67,6.5543,7.0257,3.87%,-1.33%,-1.25%,-1.34%,3.87%,0.00%,0.00%,9.22%,-1.80%,0.00%,0.00%,2.83%,"8,266.88",37.42,"5,929.90",0.00,-31.427%
5,1919,"1,919.33",5/31/1919,16.900,"2,129.58",542.52,382.66,"1,120.59","2,129.58",16.90,16.90,765.02,20.67,7.0131,7.5140,7.37%,-0.41%,-0.01%,-0.73%,7.37%,0.00%,0.00%,1.77%,-1.18%,0.00%,0.00%,5.81%,"8,039.64",36.98,"5,988.32",0.00,-26.371%
6,1919,"1,919.42",6/30/1919,16.900,"2,078.81",543.79,382.95,"1,125.79","2,078.81",16.90,16.90,819.82,20.67,7.1216,7.6252,-2.38%,0.23%,0.07%,0.46%,-2.38%,0.00%,0.00%,7.16%,0.00%,0.00%,0.00%,-1.86%,"7,598.00",34.72,"5,912.33",0.00,-28.126%
7,1919,"1,919.50",7/31/1919,17.400,"2,216.64",544.65,382.64,"1,131.00","2,216.64",17.40,17.40,873.74,20.67,6.7618,7.2347,3.57%,-2.72%,-2.95%,-2.42%,3.57%,0.00%,0.00%,3.52%,-2.87%,0.00%,0.00%,2.30%,"7,742.34",33.64,"5,590.03",0.00,-25.563%
8,1919,"1,919.58",8/31/1919,17.700,"2,053.06",544.26,380.55,"1,136.24","2,053.06",17.70,17.70,717.79,20.67,6.6428,7.1015,-8.95%,-1.77%,-2.23%,-1.24%,-8.95%,0.00%,0.00%,-19.24%,-1.69%,0.00%,0.00%,-7.52%,"7,567.95",31.27,"5,284.61",0.00,-32.225%
